ID	LINK
SLES_533.11	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53311_F28709A1.pnach
SLES_534.04	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53404_D777863A.pnach
SLES_535.02	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53502_EFC63B51.pnach
SLES_536.23	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53623_9ADA98B4.pnach
SLES_537.10	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53710_F59EA4FB.pnach
SLES_537.67	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-53767_42CD7065.pnach
SLES_541.60	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54160_379819CC.pnach
SLES_543.35	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54335_1C42A8E7.pnach
SLES_548.07	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54807_A54496E5.pnach
SLES_548.13	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54813_2E98C05B.pnach
SLES_548.43	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54843_AEFD7D25.pnach
SLES_549.72	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54972_0FCF8FE4.pnach
SLES_549.75	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54975_278B7BEA.pnach
SLES_549.89	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54989_FD4FE026.pnach
SLES_549.97	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-54997_A97B93F7.pnach
SLES_551.72	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-55172_6AECA3DC.pnach
SLES_551.99	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-55199_CB0AEC6F.pnach
SLES_552.05	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-55205_0F89A154.pnach
SLES_552.06	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-55206_0F89A154.pnach
SLES_556.39	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-55639_F4299325.pnach
SLES_820.03	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLES-82003_E7D4DC18.pnach
