game count 912
﻿One Piece: Round the Land 	 SLES_527.31
Blood Will Tell - Tezuka Osamu's Dororo 	 SLES_527.55
﻿Knight Rider 2: The Game 	 SLES_528.36
﻿The King of Fighters 2000/2001 	 SLES_528.76
Haunting Ground 	 SLES_528.77
Brothers in Arms: Road to Hill 30 	 SLES_528.88
﻿Spongebob Squarepants: Movie 	 SLES_528.95
﻿KOF: Maximum Impact 	 SLES_528.98
Midnight Club 3 - DUB Edition 	 SLES_529.42
﻿Nanobreaker 	 SLES_529.64
﻿Altered Beast 	 SLES_530.24
Hitman - Blood Money 	 SLES_530.30
﻿He-Man: Defender of Grayskull 	 SLES_530.35
﻿Tak 2: The Staff of Dreams 	 SLES_530.36
﻿SNK vs. Capcom: SVC Chaos 	 SLES_530.65
﻿Worms 4 - Mayhem 	 SLES_530.96
﻿Star Wars: Episode III - Revenge of the Sith 	 SLES_531.55
﻿Lego Star Wars: The Video Game 	 SLES_531.94
﻿Destroy All Humans! 	 SLES_531.96
﻿Saint Seiya: The Sanctuary 	 SLES_532.01
﻿Samurai Western 	 SLES_532.34
7 Sins 	 SLES_532.97
Killer7 	 SLES_533.66
﻿Metal Slug 4 	 SLES_533.80
﻿Spartan: Total Warrior 	 SLES_533.93
﻿Demolition Girl 	 SLES_534.03
﻿Kuon 	 SLES_534.11
﻿Taito Legends 	 SLES_534.38
The Warriors 	 SLES-53443
﻿Sega Classics Collection 	 SLES_534.61
﻿10.000 Bullets 	 SLES_534.81
Star Wars - Battlefront II 	 SLES_535.03
﻿Agent Hugo 	 SLES_535.04
Fahrenheit 	 SLES_535.39
﻿GigaWing Generations 	 SLES_535.48
﻿Knights of the Temple II 	 SLES_536.45
﻿World Racing 2 	 SLES_536.46
﻿Gauntlet: Seven Sorrows 	 SLES_536.67
﻿Tak: The Great Juju Challenge 	 SLES_536.95
Resident Evil 4 	 SLES_537.02
﻿Castlevania: Curse of Darkness 	 SLES_537.55
﻿The Sword of Etheria 	 SLES_537.68
Project Zero 3 - The Tormented 	 SLES_538.25
We Love Katamari 	 SLES_538.28
Psychonauts 	 SLES_538.30
﻿Crazy Frog Racer 	 SLES_538.69
Black 	 SLES_538.86
﻿Pac-Man World 3 	 SLES_539.59
Urban Chaos - Riot Response 	 SLES_539.91
﻿OutRun 2006 - Coast 2 Coast 	 SLES_539.98
﻿Kingdom Hearts II 	 SLES_541.14
﻿Grand Theft Auto: Liberty City Stories 	 SLES_541.35
﻿Super Dragon Ball Z 	 SLES_541.61
﻿Saint Seiya: The Hades 	 SLES_541.62
﻿The Last Airbender 	 SLES_541.88
﻿Agent Hugo: RoboRumble 	 SLES_542.12
﻿Lego Star Wars II: The Original Trilogy 	 SLES_542.21
﻿KOF: Maximum Impact 2 	 SLES_542.55
﻿Cartoon Network Racing (Europe) 	 SLES_543.06
Kim Possible - What's the Switch 	 SLES_543.88
﻿Justice League Heroes 	 SLES_544.23
﻿Okami 	 SLES_544.39
﻿Global Defence Force 	 SLES_544.64
﻿Buccaneer 	 SLES_544.76
﻿TMNT 	 SLES_544.78
﻿God Hand 	 SLES_544.90
﻿Xena - Warrior Princess (Europe) 	 SLES_545.41
﻿Crazy Frog Racer 2 	 SLES_545.49
﻿Capcom Classics Collection Vol. 2 	 SLES_545.61
﻿Action Man ATOM: Alpha Teens on Machines 	 SLES_546.17
﻿Grand Theft Auto: Vice City Stories 	 SLES_546.22
﻿Mr. Bean 	 SLES_546.66
﻿Wacky Races: Mad Motors 	 SLES_546.70
Tomb Raider - Anniversary 	 SLES_546.74
﻿Spider-Man 3 	 SLES_547.24
﻿Spider-Man: Friend or Foe 	 SLES_549.01
﻿Agent Hugo: Lemoon Twist 	 SLES_549.18
﻿Looney Tunes: Acme Arsenal 	 SLES_549.31
﻿MotoGP 07 	 SLES_549.59
﻿Need for Speed: ProStreet 	 SLES_550.05
Odin Sphere 	 SLES_551.10
﻿Lego Batman: The Videogame 	 SLES_551.35
﻿MotoGP 08 	 SLES_552.66
﻿Samurai Shodown Anthology 	 SLES_552.92
﻿Need for Speed: Undercover 	 SLES_553.53
﻿Agent Hugo: Hula Holiday 	 SLES_553.65
﻿Tak and the Guardians of Gross 	 SLES_553.76
﻿Sonic Unleashed 	 SLES_553.80
Pro Evolution Soccer 2009 	 SLES_554.06
Silent Hill - Shattered Memories 	 SLES_555.69
Pro Evolution Soccer 2014 	 SLES_556.74
Summoner (PAL-G)
Metal Gear Solid 2 - Substance 	 SLES_820.09
Devil May Cry 2 - Disc 1 - Dante 	 SLES_820.11
Devil May Cry 2 - Disc 2 - Lucia 	 SLES_820.12
Shadow Hearts - Covenant - Disc 1 	 SLES_820.30
Shadow Hearts - Covenant - Disc 2 	 SLES_820.31
Metal Gear Solid 3 - Snake Eater 	 SLES_820.32
﻿Onimusha: Dawn of Dre 	 SLES_820.38
﻿Onimusha: Dawn of Dreams (Disc 2) 	 SLES_820.39
Metal Gear Solid 3 - Subsistence 	 SLES_820.46
﻿Bomberman Land 2 	 SLPM_622.91
﻿Sega Ages Vol. 03: Fantasy Zone 	 SLPM_623.66
﻿Sega Ages Vol. 04: Space Harrier 	 SLPM_623.84
﻿Sega Ages 2500 Series Vol. 5 - Golden Axe 	 SLPM_623.85
﻿Sega Ages Vol. 08: Virtual Racing FlatOut 	 SLPM_624.43
﻿Sega Ages Vol. 09: Gain Ground 	 SLPM_624.45
﻿Sega Ages Vol. 10: After Burner II 	 SLPM_624.46
﻿Sega Ages Vol. 13: OutRun 	 SLPM_624.47
﻿Bomberman Kart DX 	 SLPM_624.78
﻿Sega Ages Vol. 14: Alien Syndrome 	 SLPM_625.00
﻿Sega Ages Vol. 16: Virtua Fighter 2 	 SLPM_625.47
The Typing of the Dead - Zombie Panic 	 SLPM_625.66
﻿Bomberman Land 3 	 SLPM_626.43
﻿Sega Ages Vol. 24: Last Bronx - Tokyo Bangaichi 	 SLPM_626.87
Sega Rally Championship 	 SLPM_627.03
﻿Sega Ages Vol. 26: Dynamite Deka 	 SLPM_627.17
﻿Sega Ages Vol. 27: Panzer Dragoon 	 SLPM_627.18
﻿Sega Ages Vol. 31: Cyber Troopers Virtual On 	 SLPM_627.67
﻿Bomberman Jetters 	 SLPM_652.18
﻿The Transformers: Call of the Future 	 SLPM_654.07
﻿Final Fantasy X-2 - International + Last Mission 	 SLPM_654.78
﻿[Translated] Dragon Quest V - Tenkuu no Hanayome 	 SLPM_655.55
﻿[Translated] Berserk - Millennium Falcon Hen Seima Senki no Shou 	 SLPM_656.88
﻿Future Boy Conan 	 SLPM_659.73
﻿[Translated] Front Mission 5 - Scars of the War 	 SLPM_662.05
﻿Sengoku Basara 2 	 SLPM_664.47
﻿Appleseed EX 	 SLPM_665.51
﻿Final Fantasy XII - International 	 SLPM_667.50
﻿Sengoku Basara 2 Heroes 	 SLPM_668.48
﻿Golden Knight Garo 	 SLPS_204.63
﻿Final Fantasy X - International 	 SLPS_250.88
﻿[Translated] Shadow Tower Abyss 	 SLPS_252.17
﻿One Piece Grand Battle! 3 	 SLPS_253.15
﻿[Translated] Namco X Capcom 	 SLPS_255.05
﻿Fighting For One Piece 	 SLPS_255.45
﻿KOF: Maximum Impact - Maniax 	 SLPS_256.36
﻿Metal Slug (2006) 	 SLPS_256.50
﻿Kinnikuman Muscle Grand Prix Max 	 SLPS_256.76
﻿Rurouni Kenshin: Enjou! Kyoto Rinne 	 SLPS_256.85
﻿Captain Tsubasa 	 SLPS_256.91
﻿KOF: Maximum Impact Regulation A 	 SLPS_257.65
﻿Tekken Tag Tournament 	 SLUS_200.01
﻿Ridge Racer V 	 SLUS_200.02
﻿Army Men - Air Attack 2 	 SLUS_200.04
