SLES_552.92;Samurai Shodown Anthology
SLES_553.53;!No match on title database!
SLES_553.65;Agent Hugo - Hula Holiday
SLES_553.76;Tak and the Guardians of Gross
SLES_553.80;Sonic Unleashed
SLES_820.05;Summoner
SLES_820.38;Onimusha - Dawn of Dreams
SLES_820.39;Onimusha - Dawn of Dreams
SLPM_622.91;Bomberman Land 2
SLPM_623.66;Sega Ages 2500 Series Vol.03 - Fantasy Zone
SLPM_623.84;Sega Ages 2500 Series Vol.04 - Space Harrier
SLPM_623.85;Sega Ages 2500 Series Vol.05 - Golden Axe
SLPM_624.43;Sega Ages 2500 Series Vol.08 - Virtua Racing
SLPM_624.45;Sega Ages 2500 Series Vol.09 - Gain Ground
SLPM_624.46;Sega Ages 2500 Series Vol.10 - Afterburner II
SLPM_624.47;Sega Ages 2500 Series Vol.13 - Outrun
SLPM_624.78;Bomberman Kart DX
SLPM_625.00;Sega Ages 2500 Series Vol.14 - Alien Syndrome
SLPM_625.47;Sega Ages 2500 Series Vol.16 - Virtua Fighter 2
SLPM_626.43;Bomberman Land 3
SLPM_626.87;Sega Ages 2500 Series Vol.24 - Last Bronx
SLPM_627.17;Sega Ages 2500 Series Vol.26 - Dynamite Deka
SLPM_627.18;Sega Ages 2500 Series Vol.27 - Panzer Dragoon
SLPM_627.67;Sega Ages 2500 Vol.31 - Dennou Senki Virtual On
SLPM_652.18;Bomberman Jetters
SLPM_654.07;Transformers Tatakai
SLPM_654.78;Final Fantasy X-2 International
SLPM_655.55;Dragon Quest V - Bride of the Sky
SLPM_656.88;Berserk
SLPM_659.73;Mirai Shounen Conan
SLPM_662.05;Front Mission 5 - Scars of the War
SLPM_664.47;Sengoku Basara 2
SLPM_665.51;Appleseed EX
SLPM_667.50;Final Fantasy XII International - Zodiac Job System [with Bonus DVD]
SLPM_668.48;Sengoku Basara 2 Heroes
SLPS_204.63;Ougon Kishi Garo
SLPS_250.88;Final Fantasy X International
SLPS_252.17;Shadow Tower Abyss
SLPS_253.15;One Piece - Grand Battle 3
SLPS_255.05;Namco X Capcom
SLPS_255.45;Fighting for One Piece
SLPS_256.36;King of Fighters, The - Maximum Impact
SLPS_256.50;Metal Slug 3D
SLPS_256.76;Kinnikuman Muscle Grand Prix Max
SLPS_256.85;Rurouni Kenshin - Enjou! Kyoto Rinne
SLPS_256.91;Captain Tsubasa
SLPS_257.65;King of Fighters, The - Maximum Impact Regulation A
SLUS_200.01;Tekken Tag Tournament
SLUS_200.02;Ridge Racer V
SLUS_200.04;Army Men - Air Attack 2
SLUS_200.13;Tony Hawk's Pro Skater 3
SLUS_200.14;Armored Core 2
SLUS_200.15;Eternal Ring
SLUS_200.16;Evergrace
SLUS_200.17;Maximo - Ghosts to Glory [Beta]
SLUS_200.21;Kengo - Master of Bushido
SLUS_200.24;Legacy of Kain - Blood Omen 2
SLUS_200.35;Baldur's Gate - Dark Alliance
SLUS_200.47;Gauntlet - Dark Legacy
SLUS_200.54;Ready 2 Rumble Boxing - Round 2
SLUS_200.56;Spy Hunter
SLUS_200.58;Moto GP
SLUS_200.62;Grand Theft Auto III
SLUS_200.64;Oni
SLUS_200.65;Smuggler's Run
SLUS_200.66;Half-Life
SLUS_200.69;Bouncer
SLUS_200.71;Dead or Alive 2
SLUS_200.76;Disney's Tarzan Untamed
SLUS_200.77;Donald Duck Goin' Quackers
SLUS_200.79;Dynasty Warriors 2
SLUS_200.80;GunGriffon Blaze
SLUS_200.84;Soldier of Fortune - Gold Edition
SLUS_200.85;Silpheed Lost Planet
SLUS_200.87;Army Men - Green Rogue
SLUS_201.05;MDK 2 - Armageddon
SLUS_201.30;Street Fighter EX3
SLUS_201.31;Dark Angel - Vampire Apocalypse
SLUS_201.32;Army Men - Sarge's Heroes 2
SLUS_201.34;Sky Odyssey
SLUS_201.36;Barbarian
SLUS_201.38;Rayman 2 - Revolution
SLUS_201.45;Ring of Red
SLUS_201.46;Shadow of Destiny
SLUS_201.47;Aliens vs Predator - Extinction
SLUS_201.48;Zone of the Enders
SLUS_201.49;Tribes - Aerial Assault
SLUS_201.51;Klonoa 2 - Lunatea's Veil
SLUS_201.52;Ace Combat 4 - Shattered Skies
SLUS_201.59;Dave Mirra Freestyle BMX 2
SLUS_201.60;Winback - Covert Operations
SLUS_201.62;Aqua Aqua
SLUS_201.65;Legacy of Kain - Soul Reaver 2
SLUS_201.70;Adventures of Cookie & Cream, The
SLUS_201.74;Rumble Racing
SLUS_201.77;Test Drive - Off-Road - Wide Open
SLUS_201.78;Giants - Citizen Kabuto
SLUS_201.82;Stretch Panic
SLUS_201.84;Resident Evil - CODE Veronica X
SLUS_201.90;Monster Rancher 3
SLUS_201.91;Defender
SLUS_201.94;Grandia II
SLUS_202.02;Crazy Taxi
SLUS_202.04;Smuggler's Run 2 - Hostile Territory
SLUS_202.06;Army Men - RTS
SLUS_202.16;Devil May Cry
SLUS_202.19;Time Crisis II
SLUS_202.21;Vampire Night
SLUS_202.25;Gadget Racers
SLUS_202.26;Batman - Vengeance
SLUS_202.28;Silent Hill 2
SLUS_202.30;Max Payne
SLUS_202.31;Herdy Gerdy
SLUS_202.38;Crash Bandicoot - The Wrath of Cortex
SLUS_202.44;RoboTech BattleCry
SLUS_202.49;Armored Core 2 - Another Age
SLUS_202.50;Stuntman
SLUS_202.51;Harvest Moon - Save the Homeland
SLUS_202.53;Mummy Returns, The
SLUS_202.59;Wizadry - Tale of the Forsaken
SLUS_202.67;.hack//Part 1 - Infection
SLUS_202.74;City Crisis
SLUS_202.75;Kessen 2
SLUS_202.91;!No match on title database!
SLUS_202.93;Star Wars - Jedi Starfighter
SLUS_202.94;Gitaroo Man
SLUS_202.96;Kao the Kangaroo - Round 2
SLUS_202.97;Return to Castle Wolfenstein - Operation Resurrection
SLUS_203.00;Dark Summit
SLUS_203.02;Extreme-G Racing - XG3
SLUS_203.05;Simpsons, The - Road Rage
SLUS_203.06;Contra - Shattered Soldier
SLUS_203.07;Burnout
SLUS_203.09;Jade Cocoon 2
SLUS_203.13;Wave Rally
SLUS_203.14;TimeSplitters 2
SLUS_203.18;King's Field IV
SLUS_203.27;Aggressive Inline
SLUS_203.28;Tekken 4
SLUS_203.33;Turok - Evolution
SLUS_203.36;Spider-Man - The Movie
SLUS_203.37;X-Men - Wolverines Revenge
SLUS_203.44;Rez
SLUS_203.46;AirBlade
SLUS_203.47;Shadow Hearts
SLUS_203.49;Scooby Doo! Night of 100 Frights
SLUS_203.52;Looney Tunes Space Race
SLUS_203.60;Blade 2
SLUS_203.61;Rally Fusion - Race of Champions
SLUS_203.62;Need for Speed - Hot Pursuit 2
SLUS_203.67;Freekstyle
SLUS_203.68;Medal of Honor - Frontline
SLUS_203.70;Kingdom Hearts
SLUS_203.71;Thing, The
SLUS_203.74;Hitman 2 - Silent Assassin
SLUS_203.75;Mister Mosquito
SLUS_203.77;Metropolismania
SLUS_203.82;Mobile Suit Gundam - Federation vs Zeon
SLUS_203.83;Vexx
SLUS_203.84;Skygunner
SLUS_203.87;Suikoden III
SLUS_203.88;Fatal Frame
SLUS_203.90;Risk - Global Domination
SLUS_203.92;Antz Extreme Racing
SLUS_203.93;Onimusha 2 - Samurai's Destiny
SLUS_203.97;Tenchu 3 - Wrath of Heaven
SLUS_203.98;Road Trip
SLUS_204.05;Downforce
SLUS_204.07;Way of the Samurai
SLUS_204.13;Shadow Man - Second Coming
SLUS_204.14;Legaia 2 - Duel Saga
SLUS_204.15;BMX XXX
SLUS_204.17;Grandia Xtreme
SLUS_204.20;Star Wars - Bounty Hunter
SLUS_204.21;Battlestar Galactica
SLUS_204.23;Mortal Kombat - Deadly Alliance
SLUS_204.25;Spongebob Squarepants - Revenge of the Flying Dutchman
